Latitude,Longitude,PlaceID,Road Name
35.65905980297945,139.70268939442863,ChIJ57eISFiLGGARVq-FsjHhCcc,Meiji-dori Avenue
35.65876050000001,139.7028369,ChIJ57eISFiLGGARVq-FsjHhCcc,Meiji-dori Avenue
35.65876050000001,139.7028369,ChIJ57eISFiLGGAR-Mpk7-15woA,Meiji-dori Avenue
35.65859539999999,139.7029135,ChIJ57eISFiLGGAR-Mpk7-15woA,Meiji-dori Avenue
35.65859539999999,139.7029135,ChIJyaJ1TFiLGGARJvQVRKy_vck,Meiji-dori Avenue
35.658519500000004,139.7029519,ChIJyaJ1TFiLGGARJvQVRKy_vck,Meiji-dori Avenue
35.658519500000004,139.7029519,ChIJhwmWTFiLGGARvjKmUjRqIyw,Meiji-dori Avenue
35.65837199999999,139.7030231,ChIJhwmWTFiLGGARvjKmUjRqIyw,Meiji-dori Avenue
35.65837199999999,139.7030231,ChIJv18As1mLGGARgq5fjQCIVCk,Meiji-dori Avenue
35.6581632,139.7031279,ChIJv18As1mLGGARgq5fjQCIVCk,Meiji-dori Avenue
35.6581632,139.7031279,ChIJuUHFsVmLGGARujs1ZnZ9UH0,Meiji-dori Avenue
35.658124199999996,139.7031536,ChIJuUHFsVmLGGARujs1ZnZ9UH0,Meiji-dori Avenue
35.6580868,139.7031831,ChIJuUHFsVmLGGARujs1ZnZ9UH0,Meiji-dori Avenue
35.65798039999999,139.70328690000002,ChIJuUHFsVmLGGARujs1ZnZ9UH0,Meiji-dori Avenue
35.65798039999999,139.70328690000002,ChIJ87hPpFmLGGARlBn0GsGSvdc,Meiji-dori Avenue
35.6578616,139.7033986,ChIJ87hPpFmLGGARlBn0GsGSvdc,Meiji-dori Avenue
35.657744099999995,139.7035263,ChIJ87hPpFmLGGARlBn0GsGSvdc,Meiji-dori Avenue
35.6576532,139.7036493,ChIJ87hPpFmLGGARlBn0GsGSvdc,Meiji-dori Avenue
